ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
112	"ENSMUSG00000025195.10"	"Dnmbp"	chr19	-	43862566	43862696	43862596	43862696	43858600	43858748	112	0,2,0	40,49,30	0,2,0	17,20,12	154	124	1	1.0	0.0,0.032,0.0	0.0,0.075,0.0	-0.014
113	"ENSMUSG00000025007.14"	"Aldh18a1"	chr19	-	40562654	40562813	40562660	40562813	40562214	40562305	113	107,116,87	13,12,16	74,114,64	9,24,12	130	124	0.236960422172	0.829827252959132	0.887,0.902,0.838	0.887,0.819,0.836	0.028
115	"ENSMUSG00000024798.16"	"Htr7"	chr19	-	35946703	35947464	35946708	35947464	35936133	35937799	115	6,2,3	12,13,6	0,3,3	9,10,22	129	124	0.0742630201611	0.43087113416017414	0.325,0.129,0.325	0.0,0.224,0.116	0.146
116	"ENSMUSG00000024776.19"	"Stambpl1"	chr19	+	34169628	34170031	34169628	34169995	34197586	34197666	116	22,28,16	8,5,0	11,28,15	4,9,3	160	124	0.286438593983	0.9204988876026693	0.681,0.813,1.0	0.681,0.707,0.795	0.104
117	"ENSMUSG00000059363.11"	"Fxn"	chr19	-	24249667	24249831	24249710	24249831	24244665	24244763	117	1,1,0	83,85,71	1,0,0	47,93,53	167	124	1	1.0	0.009,0.009,0.0	0.016,0.0,0.0	0.001
119	"ENSMUSG00000052387.17"	"Trpm3"	chr19	+	22903259	22903470	22903259	22903434	22955655	22955806	119	6,3,4	91,69,59	1,4,2	50,64,46	160	124	0.331055911611	0.9772590211890428	0.049,0.033,0.05	0.015,0.046,0.033	0.013
121	"ENSMUSG00000037847.15"	"Nmrk1"	chr19	+	18609313	18609445	18609313	18609363	18613442	18613506	121	20,12,4	0,1,3	10,2,6	0,2,0	206	124	0.379157613588	1.0	1.0,0.878,0.445	1.0,0.376,1.0	-0.018
123	"ENSMUSG00000024640.10"	"Psat1"	chr19	-	15894426	15894613	15894440	15894613	15892372	15892397	123	0,0,0	289,276,224	1,1,0	165,291,175	138	124	1	1.0	0.0,0.0,0.0	0.005,0.003,0.0	-0.003
128	"ENSMUSG00000034371.10"	"Tkfc"	chr19	-	10574673	10574752	10574698	10574752	10574295	10574385	128	81,63,49	0,2,0	49,104,64	0,0,0	149	124	1	1.0	1.0,0.963,1.0	1.0,1.0,1.0	-0.012
129	"ENSMUSG00000034445.9"	"Cyb561a3"	chr19	+	10554814	10555257	10554814	10554927	10556345	10556438	129	84,102,95	0,2,0	69,134,67	0,0,0	454	124	1	1.0	1.0,0.933,1.0	1.0,1.0,1.0	-0.022
130	"ENSMUSG00000024667.13"	"Tmem216"	chr19	-	10533062	10533115	10533076	10533115	10532426	10532528	130	21,25,11	15,17,17	14,23,9	15,22,13	138	124	0.498377081555	1.0	0.557,0.569,0.368	0.456,0.484,0.384	0.057
131	"ENSMUSG00000071657.13"	"Bscl2"	chr19	+	8817898	8820454	8817898	8818788	8822534	8822678	131	319,387,299	0,0,0	191,310,198	0,0,1	1790	124	1	1.0	1.0,1.0,1.0	1.0,1.0,0.932	0.023
132	"ENSMUSG00000010097.16"	"Nxf1"	chr19	+	8739675	8739859	8739675	8739851	8740046	8740200	132	328,372,277	0,0,0	229,352,212	2,0,0	132	124	1	1.0	1.0,1.0,1.0	0.991,1.0,1.0	0.003
134	"ENSMUSG00000010110.18"	"Stx5a"	chr19	+	8720716	8720866	8720716	8720787	8725824	8725941	134	33,51,27	155,159,109	11,24,17	79,158,140	203	124	0.000808703157127	0.025395037184129384	0.115,0.164,0.131	0.078,0.085,0.069	0.059
135	"ENSMUSG00000010110.18"	"Stx5a"	chr19	+	8726170	8726263	8726170	8726252	8727029	8727136	135	8,11,9	161,169,148	3,10,3	92,163,168	135	124	0.134344121324	0.5962879786073707	0.044,0.056,0.053	0.029,0.053,0.016	0.018
136	"ENSMUSG00000108414.3"	"Snhg1"	chr19	+	8701504	8701847	8701504	8701553	8702035	8702085	136	327,402,352	2,0,2	231,361,299	0,1,0	418	124	1	1.0	0.98,1.0,0.981	1.0,0.991,1.0	-0.01
137	"ENSMUSG00000108414.3"	"Snhg1"	chr19	+	8702848	8703190	8702848	8702887	8703430	8703466	137	323,378,347	0,2,2	240,353,291	0,2,0	427	124	1	1.0	1.0,0.982,0.981	1.0,0.981,1.0	-0.006
138	"ENSMUSG00000108414.3"	"Snhg1"	chr19	+	8703145	8703288	8703145	8703190	8703430	8703466	138	67,86,74	237,267,273	33,63,68	162,253,193	222	124	0.538250799297	1.0	0.136,0.152,0.131	0.102,0.122,0.164	0.01
139	"ENSMUSG00000010095.14"	"Slc3a2"	chr19	-	8690093	8690267	8690229	8690267	8689197	8689292	139	1053,1128,795	0,0,0	575,989,885	2,0,0	260	124	1	1.0	1.0,1.0,1.0	0.993,1.0,1.0	0.002
140	"ENSMUSG00000024965.10"	"Fermt3"	chr19	-	6979937	6980044	6979947	6980044	6979124	6979820	140	7,6,9	0,0,1	2,5,1	0,0,0	134	124	1	1.0	1.0,1.0,0.893	1.0,1.0,1.0	-0.036
141	"ENSMUSG00000024960.10"	"Plcb3"	chr19	-	6942874	6942952	6942876	6942952	6942664	6942765	141	0,1,1	42,30,37	0,1,1	28,26,14	126	124	1	1.0	0.0,0.032,0.026	0.0,0.036,0.066	-0.015
142	"ENSMUSG00000024949.18"	"Sf1"	chr19	+	6424039	6424317	6424039	6424313	6424578	6424638	142	27,33,15	288,306,182	13,23,22	166,283,176	128	124	0.844876945198	1.0	0.083,0.095,0.074	0.071,0.073,0.108	0.0
143	"ENSMUSG00000024948.16"	"Map4k2"	chr19	+	6396721	6396847	6396721	6396839	6401209	6401268	143	7,7,6	59,70,57	4,7,5	47,74,54	132	124	0.601814694958	1.0	0.1,0.086,0.09	0.074,0.082,0.08	0.013
144	"ENSMUSG00000024773.16"	"Atg2a"	chr19	+	6305130	6305301	6305130	6305295	6305438	6305568	144	26,9,7	36,25,17	17,15,10	19,48,5	130	124	0.416093749542	1.0	0.408,0.256,0.282	0.46,0.23,0.656	-0.133
145	"ENSMUSG00000039699.15"	"Batf2"	chr19	+	6214483	6215198	6214483	6214780	6216497	6216602	145	2,0,2	0,0,0	0,0,0	0,0,1	542	124	1	1.0	1.0,NA,1.0	NA,NA,0.0	1.0
146	"ENSMUSG00000024787.15"	"Snx15"	chr19	-	6173859	6174218	6174182	6174218	6172069	6172185	146	148,178,140	2,0,0	73,151,128	0,0,1	447	124	1	1.0	0.954,1.0,1.0	1.0,1.0,0.973	-0.006
147	"ENSMUSG00000024807.19"	"Syvn1"	chr19	+	6100551	6101099	6100551	6100715	6101184	6101340	147	109,102,85	0,0,0	48,106,55	0,0,2	508	124	1	1.0	1.0,1.0,1.0	1.0,1.0,0.87	0.043
149	"ENSMUSG00000024937.16"	"Ehbp1l1"	chr19	-	5767689	5770435	5769975	5770435	5767066	5767224	149	371,384,331	0,0,1	166,284,119	0,3,2	2410	124	0.0265040405595	0.23997425482065093	1.0,1.0,0.945	1.0,0.83,0.754	0.12
150	"ENSMUSG00000024937.16"	"Ehbp1l1"	chr19	-	5767689	5770435	5770212	5770435	5767066	5767224	150	396,430,349	0,1,0	181,309,139	0,0,0	2647	124	1	1.0	1.0,0.953,1.0	1.0,1.0,1.0	-0.016
151	"ENSMUSG00000024937.16"	"Ehbp1l1"	chr19	-	5769975	5770435	5770212	5770435	5767066	5767224	151	25,46,19	0,1,0	15,28,22	0,0,0	361	124	1	1.0	1.0,0.94,1.0	1.0,1.0,1.0	-0.02
152	"ENSMUSG00000056185.6"	"Snx32"	chr19	-	5548423	5548534	5548439	5548534	5548207	5548329	152	61,53,68	9,8,12	90,111,62	2,15,5	140	124	0.0347709060738	0.2782635668897734	0.857,0.854,0.834	0.976,0.868,0.917	-0.072
153	"ENSMUSG00000024873.8"	"Cnih2"	chr19	-	5144733	5144828	5144759	5144828	5144311	5144359	153	14,18,10	741,841,519	27,23,18	491,900,625	150	124	0.0104221345976	0.14216794589181225	0.015,0.017,0.016	0.043,0.021,0.023	-0.013
154	"ENSMUSG00000034108.7"	"Ccs"	chr19	-	4884200	4884338	4884267	4884338	4883368	4883475	154	53,42,40	0,0,1	32,57,38	0,0,1	191	124	1	1.0	1.0,1.0,0.963	1.0,1.0,0.961	0.001
155	"ENSMUSG00000034108.7"	"Ccs"	chr19	-	4884200	4884338	4884221	4884338	4883368	4883546	155	71,90,60	0,1,1	58,83,67	0,0,0	145	124	1	1.0	1.0,0.987,0.981	1.0,1.0,1.0	-0.011
156	"ENSMUSG00000034108.7"	"Ccs"	chr19	-	4884200	4884338	4884267	4884338	4883368	4883546	156	107,124,91	2,0,1	75,123,98	0,2,0	191	124	1	1.0	0.972,1.0,0.983	1.0,0.976,1.0	-0.007
157	"ENSMUSG00000034108.7"	"Ccs"	chr19	-	4884221	4884338	4884267	4884338	4883368	4883546	157	36,35,32	2,0,1	17,40,31	0,2,0	170	124	1	1.0	0.929,1.0,0.959	1.0,0.936,1.0	-0.016
